entry,top year,ranking,artist,track,release year,genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,popularity
251,2012,52,Kendrick Lamar,Latch,2013-06-03,"['edm', 'house', 'pop', 'uk dance']",0.729,0.735,-5.455,0.0919,0.0178,0.000193,0.089,0.544,121.986,1,1,255867,69.0
252,2012,53,Azealia Banks,Swimming Pools (Drank) - Extended Version,2012,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.716,0.485,-7.745,0.404,0.123,2.69E-05,0.604,0.26,74.132,1,1,313787,69.0
253,2012,54,Skrillex,212,2014-11-07,"['alternative r&b', 'dance pop', 'escape room', 'hip house', 'lgbtq+ hip hop', 'pop', 'trap queen']",0.846,0.772,-5.735,0.259,0.0123,0.000106,0.0769,0.622,125.998,11,0,204957,69.0
254,2012,55,Icona Pop,I Love It (feat. Charli XCX),2013-08-27,"['candy pop', 'dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'pop dance', 'swedish electropop', 'swedish synthpop', 'tropical house']",0.711,0.906,-2.671,0.0284,0.00952,1.64E-05,0.153,0.824,125.916,8,1,157153,68.0
255,2012,56,Maroon 5,Bangarang (feat. Sirah),2011-12-27,"['brostep', 'complextro', 'edm', 'electro']",0.716,0.972,-2.302,0.196,0.0145,3.22E-05,0.317,0.576,110.026,7,1,215253,68.0
256,2012,57,MARINA,How to Be a Heartbreaker,2012-04-30,"['dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",0.69,0.897,-4.696,0.0506,0.0142,0,0.108,0.849,140.05,11,0,221493,68.0
257,2012,58,Jason Mraz,Titanium (feat. Sia),2011-08-24,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",0.604,0.788,-3.673,0.103,0.0678,0.153,0.127,0.301,126.06,0,0,245040,68.0
258,2012,59,David Guetta,I Won't Give Up,2012-04-13,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",0.483,0.303,-10.058,0.0429,0.694,0,0.115,0.139,133.406,4,1,240166,68.0
259,2012,60,fun.,Some Nights,2012-02-21,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']",0.672,0.738,-7.045,0.0506,0.0178,6.75E-05,0.0927,0.392,107.938,0,1,277040,68.0
260,2012,61,Miguel,Adorn,2012-09-28,"['dance pop', 'pop', 'r&b']",0.625,0.576,-5.693,0.175,0.0543,4.07E-05,0.187,0.235,179.063,11,0,193147,68.0
261,2012,62,Katy Perry,Wide Awake,2012-03-12,"['dance pop', 'pop']",0.514,0.683,-5.099,0.0367,0.0749,2.64E-06,0.392,0.575,159.814,5,1,220947,67.0
262,2012,63,The Script,Hall of Fame (feat. will.i.am),2012-09-10,"['celtic rock', 'dance pop', 'neo mellow', 'pop', 'pop rock']",0.421,0.873,-4.343,0.0564,0.0654,0,0.123,0.629,84.786,10,1,202533,67.0
263,2012,64,Various Artists,It Will Rain,2011-11-04,"['dance pop', 'pop']",0.576,0.835,-6.826,0.0486,0.337,0,0.082,0.476,150.017,2,1,257720,67.0
264,2012,65,Labrinth,Beneath Your Beautiful (feat. Emeli Sandé),2012-04-02,"['indie poptimism', 'pop']",0.561,0.522,-5.857,0.0318,0.227,0,0.104,0.238,83.962,2,1,271813,67.0
265,2012,66,Kendrick Lamar,m.A.A.d city,2012,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.487,0.729,-6.815,0.271,0.0538,4.07E-06,0.44,0.217,91.048,2,1,350120,67.0
266,2012,67,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),2012-01-01,"['dance pop', 'pop', 'r&b', 'urban contemporary']",0.658,0.677,-6.628,0.0393,0.248,0,0.368,0.248,124.91,5,1,251627,67.0
267,2012,68,The Wanted,On Top Of The World,2012-09-04,"['modern rock', 'rock']",0.635,0.926,-5.589,0.151,0.0893,4.53E-06,0.0928,0.761,100.048,0,1,189840,67.0
268,2012,69,Of Monsters and Men,Chasing The Sun,2012-01-01,"['boy band', 'dance pop', 'edm', 'pop', 'pop rock', 'post-teen pop']",0.637,0.732,-6.209,0.0965,0.244,0,0.498,0.68,128.108,7,0,198800,67.0
269,2012,70,Imagine Dragons,Dirty Paws,2012-01-01,"['folk-pop', 'metropopolis', 'modern rock', 'pop rock', 'stomp and holler']",0.359,0.649,-7.06,0.0349,0.107,0.0124,0.0555,0.133,111.709,3,1,278373,67.0
270,2012,71,Justin Bieber,As Long As You Love Me,2012-06-15,"['canadian pop', 'pop']",0.571,0.873,-3.382,0.1,0.0811,0,0.361,0.613,139.691,0,0,229467,67.0
271,2012,72,Muse,Madness,2012-09-24,"['modern rock', 'permanent wave', 'rock']",0.502,0.417,-7.665,0.0718,0.127,0.00419,0.106,0.218,180.301,10,1,281040,66.0
272,2012,73,Robbie Williams,Candy,2012-11-05,"['dance rock', 'europop']",0.715,0.791,-6.63,0.0414,0.0368,0,0.0694,0.879,116.043,10,1,201053,66.0
273,2012,74,Lupe Fiasco,One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,2012-08-03,"['israeli pop', 'israeli rock']",0.826,0.668,-6.329,0.0571,0.223,6.92E-05,0.167,0.534,118.99,3,0,215187,66.0
274,2012,75,Train,Battle Scars (with Guy Sebastian),2012-09-25,"['alternative hip hop', 'chicago rap', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']",0.517,0.811,-4.526,0.286,0.186,0,0.105,0.494,168.269,5,0,250320,66.0
275,2012,76,Adele,50 Ways to Say Goodbye,2012-04-17,"['dance pop', 'neo mellow', 'pop', 'pop rock']",0.591,0.935,-2.664,0.0478,0.000284,0.000278,0.142,0.736,140.043,6,1,247947,66.0
276,2012,77,"Asaf Avidan, The Mojos, Wankelmut",Rumour Has It,2011-01-24,"['british soul', 'pop', 'pop soul', 'uk pop']",0.612,0.749,-5.014,0.0446,0.615,0,0.167,0.574,120.052,0,1,223267,66.0
277,2012,78,P!nk,Blow Me (One Last Kiss),2012-09-18,"['dance pop', 'pop']",0.597,0.919,-2.954,0.0439,0.000145,0,0.282,0.729,113.991,7,1,255587,66.0
278,2012,79,Grimes,Oblivion,2012-02-21,"['art pop', 'canadian electropop', 'dance pop', 'electropop', 'grave wave', 'indietronica', 'metropopolis', 'pop']",0.697,0.529,-8.838,0.0338,0.115,0.896,0.0895,0.486,155.974,2,1,251267,65.0
279,2012,80,Lana Del Rey,Video Games,2012-01-01,"['art pop', 'pop']",0.39,0.252,-9.666,0.0298,0.808,0,0.0887,0.181,122.053,6,0,281947,65.0
280,2012,81,Otto Knows,Million Voices - Radio Edit,2012-01-01,"['dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']",0.582,0.894,-6.298,0.041,0.0022,0.0223,0.0664,0.0694,125.946,8,1,192867,65.0
281,2012,82,Little Mix,Wings,2012-11-19,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",0.742,0.878,-3.127,0.128,0.000758,8.88E-05,0.286,0.564,114.965,9,0,221720,65.0
282,2012,83,Gavin DeGraw,Scream,2012-06-12,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",0.616,0.862,-5.18,0.0973,0.00117,0,0.179,0.569,127.992,7,0,234693,65.0
283,2012,84,Usher,Not Over You,2011-09-16,"['neo mellow', 'pop rock']",0.63,0.894,-4.592,0.0544,0.255,0,0.181,0.364,142.051,10,1,218520,65.0
284,2012,85,Passion Pit,Take a Walk,2012-07-23,"['alternative dance', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'stomp and holler']",0.566,0.755,-5.526,0.0368,0.0338,0,0.315,0.445,101.006,11,1,264493,65.0
285,2012,86,Kelly Clarkson,Stronger (What Doesn't Kill You),2011-10-24,"['dance pop', 'pop', 'post-teen pop', 'talent show']",0.562,0.939,-4.282,0.0475,0.046,0,0.112,0.684,116.044,0,1,221947,65.0
286,2012,87,Imagine Dragons,It's Time,2012-09-04,"['modern rock', 'rock']",0.656,0.884,-4.748,0.0372,0.0162,0,0.145,0.86,105.009,2,1,237987,65.0
287,2012,88,Lana Del Rey,Ride,2012-01-01,"['art pop', 'pop']",0.373,0.686,-5.52,0.034,0.128,1.96E-06,0.383,0.189,93.763,0,1,289080,65.0
288,2012,89,Calvin Harris,Let's Go (feat. Ne-Yo),2012-10-29,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",0.71,0.882,-2.932,0.0595,0.00777,0.00771,0.294,0.875,128.016,4,0,232800,64.0
289,2012,90,Jessie J,Domino,2011-01-01,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",0.757,0.547,-4.573,0.0355,0.0115,0,0.0445,0.793,126.977,7,1,231693,64.0
290,2012,91,Jennifer Lopez,Dance Again (feat. Pitbull),2012-07-24,"['dance pop', 'pop', 'pop rap', 'urban contemporary']",0.792,0.856,-5.236,0.067,0.0159,2.88E-06,0.0981,0.714,127.988,11,0,237267,64.0
291,2012,92,Chris Brown,Silhouettes - Original Radio Edit,2012-04-27,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",0.605,0.8,-6.235,0.0545,0.155,0.0562,0.121,0.836,128.074,5,0,211880,63.0
292,2012,93,Avicii,Turn Up the Music,2012-07-03,"['dance pop', 'r&b']",0.594,0.841,-5.792,0.102,0.000238,2.22E-06,0.156,0.643,129.925,1,1,227973,63.0
293,2012,94,Ellie Goulding,Lights - Single Version,2010-01-01,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",0.682,0.795,-6.17,0.0367,0.0297,0.0391,0.131,0.78,120.008,8,0,210853,63.0
294,2012,95,Carrie Underwood,Blown Away,2012-05-01,"['contemporary country', 'country', 'country dawn', 'oklahoma country', 'pop']",0.531,0.843,-2.569,0.0429,0.0909,0,0.0283,0.392,136.991,9,0,240133,63.0
295,2012,96,Michel Teló,Ai Se Eu Te Pego - Ao Vivo,2011-08-21,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",0.65,0.947,-5.326,0.0717,0.222,0,0.979,0.694,96.035,11,1,170493,63.0
296,2012,97,Nicki Minaj,Pound The Alarm,2012-01-01,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",0.728,0.858,-3.686,0.0609,0.0403,4.09E-06,0.0241,0.591,125.055,9,1,205640,62.0
297,2012,98,LMFAO,Sexy And I Know It,2011-01-01,"['dance pop', 'pop', 'pop rap']",0.707,0.861,-4.225,0.316,0.1,0,0.191,0.795,130.021,7,1,199480,62.0
298,2012,99,Chris Brown,Don't Wake Me Up,2012-07-03,"['dance pop', 'r&b']",0.602,0.691,-5.197,0.051,0.0548,0,0.144,0.206,127.967,7,0,222307,63.0
299,2012,100,Cher Lloyd,Want U Back,2012-10-02,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'social media pop', 'talent show']",0.694,0.891,-2.94,0.0949,0.0562,0,0.561,0.563,97.939,9,1,214573,62.0
300,2013,1,Justin Timberlake,Mirrors,2013-03-15,"['dance pop', 'pop']",0.574,0.512,-6.664,0.0503,0.234,0,0.0946,0.512,76.899,5,0,484147,76.0
301,2013,2,Robin Thicke,Blurred Lines,2013-01-01,"['contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",0.861,0.504,-7.707,0.0489,0.00412,1.78E-05,0.0783,0.881,120.0,7,1,263053,55.0
302,2013,3,Imagine Dragons,Radioactive,2012-09-04,"['modern rock', 'rock']",0.448,0.784,-3.686,0.0627,0.106,0.000108,0.668,0.236,136.245,9,1,186813,71.0
303,2013,4,Avicii,Wake Me Up,2013-01-01,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,2,1,247427,84.0
304,2013,5,Bruno Mars,Locked out of Heaven,2012-12-07,"['dance pop', 'pop']",0.726,0.698,-4.165,0.0431,0.049,0,0.309,0.867,143.994,5,1,233478,85.0
305,2013,6,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis",Thrift Shop (feat. Wanz),2012-10-09,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",0.781,0.526,-6.986,0.293,0.0633,0,0.0457,0.665,94.993,6,0,235613,76.0
306,2013,7,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2013-04-19,"['electro', 'filter house']",0.794,0.811,-8.966,0.038,0.0426,1.07E-06,0.101,0.862,116.047,6,0,248413,80.0
307,2013,8,Tom Odell,Another Love,2013-06-24,"['chill pop', 'pop']",0.445,0.537,-8.532,0.04,0.695,1.65E-05,0.0944,0.131,122.769,4,0,244360,90.0
308,2013,9,The Neighbourhood,Sweater Weather,2013-04-19,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,10,1,240400,89.0
309,2013,10,Arctic Monkeys,Do I Wanna Know?,2013-09-09,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",0.548,0.532,-7.596,0.0323,0.186,0.000263,0.217,0.405,85.03,5,1,272394,86.0
310,2013,11,Bruno Mars,When I Was Your Man,2012-12-07,"['dance pop', 'pop']",0.612,0.28,-8.648,0.0434,0.932,0,0.088,0.387,72.795,0,1,213827,87.0
311,2013,12,Capital Cities,Safe And Sound,2013,"['metropopolis', 'modern rock']",0.655,0.819,-4.852,0.0316,0.000176,0.00374,0.104,0.766,117.956,0,1,192790,81.0
312,2013,13,Miley Cyrus,Wrecking Ball,2013-10-04,['pop'],0.53,0.422,-6.262,0.0342,0.407,0,0.107,0.349,119.964,5,1,221360,80.0
313,2013,14,P!nk,Just Give Me a Reason (feat. Nate Ruess),2012-09-18,"['dance pop', 'pop']",0.778,0.547,-7.273,0.0489,0.346,0.000302,0.132,0.441,95.002,2,1,242733,80.0
314,2013,15,Arctic Monkeys,Why'd You Only Call Me When You're High?,2013-09-09,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",0.691,0.631,-6.478,0.0368,0.0483,1.13E-05,0.104,0.8,92.004,2,1,161124,85.0
315,2013,16,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis",Can't Hold Us (feat. Ray Dalton),2012-10-09,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",0.641,0.922,-4.457,0.0786,0.0291,0,0.0862,0.847,146.078,2,1,258343,80.0
316,2013,17,Kodaline,All I Want,2013-06-17,"['irish pop', 'pop', 'pop rock']",0.188,0.411,-9.733,0.0484,0.174,0.153,0.0843,0.159,187.376,0,1,305747,79.0
317,2013,18,Lil Wayne,Love Me,2013-01-01,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",0.669,0.634,-6.476,0.0327,0.0125,0,0.0946,0.496,124.906,11,1,255053,78.0
318,2013,19,Bruno Mars,Treasure,2012-12-07,"['dance pop', 'pop']",0.874,0.692,-5.28,0.0431,0.0412,7.24E-05,0.324,0.937,116.017,5,0,178560,78.0
319,2013,20,Christina Perri,A Thousand Years,2011-10-18,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",0.421,0.407,-7.445,0.0267,0.309,0.000961,0.11,0.161,139.028,10,1,285120,78.0
320,2013,21,Lorde,Royals,2013-09-27,"['art pop', 'metropopolis', 'nz pop', 'pop']",0.674,0.428,-9.504,0.122,0.121,0,0.132,0.337,84.878,7,1,190185,78.0
321,2013,22,Miley Cyrus,We Can't Stop,2013-10-04,['pop'],0.613,0.622,-5.794,0.0334,0.00882,0,0.37,0.484,80.003,1,0,231240,78.0
322,2013,23,Eminem,The Monster,2013-11-05,"['detroit hip hop', 'hip hop', 'rap']",0.781,0.853,-3.68,0.0715,0.0525,0,0.12,0.624,110.049,1,0,250189,77.0
323,2013,24,Of Monsters and Men,Little Talks,2012-01-01,"['folk-pop', 'metropopolis', 'modern rock', 'pop rock', 'stomp and holler']",0.457,0.757,-5.177,0.032,0.0206,0,0.146,0.417,102.961,1,1,266600,77.0
324,2013,25,Paramore,Still into You,2013-04-05,"['candy pop', 'pixie', 'pop emo', 'pop punk']",0.602,0.923,-3.763,0.044,0.0098,0,0.0561,0.765,136.01,5,1,216013,77.0
325,2013,26,Childish Gambino,3005,2013-12-10,"['atl hip hop', 'hip hop', 'pop', 'rap']",0.664,0.447,-7.272,0.289,0.112,0,0.091,0.659,83.138,6,0,234215,77.0
326,2013,27,Katy Perry,Unconditionally,2013-01-01,"['dance pop', 'pop']",0.432,0.725,-4.862,0.0431,0.00273,0,0.208,0.353,128.902,7,1,228879,77.0
327,2013,28,P!nk,Try,2012-09-18,"['dance pop', 'pop']",0.674,0.628,-7.079,0.03,0.00144,0,0.0944,0.552,103.998,2,1,247907,76.0
328,2013,29,will.i.am,Scream & Shout,2013-01-01,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",0.772,0.685,-6.849,0.0696,0.019,8.96E-05,0.131,0.501,130.033,5,1,283400,76.0
329,2013,30,Demi Lovato,Heart Attack,2013-01-01,"['dance pop', 'pop', 'post-teen pop']",0.504,0.785,-4.802,0.104,0.0738,0,0.239,0.502,173.968,8,1,210840,76.0
330,2013,31,Taylor Swift,I Knew You Were Trouble.,2012-10-22,['pop'],0.622,0.469,-6.798,0.0363,0.00454,2.25E-06,0.0335,0.679,77.019,3,0,219720,76.0
331,2013,32,Pitbull,Feel This Moment (feat. Christina Aguilera),2012,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",0.673,0.758,-3.632,0.158,0.039,0,0.341,0.542,135.956,7,1,229507,76.0
332,2013,33,J. Cole,Power Trip (feat. Miguel),2013-06-18,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",0.667,0.608,-7.054,0.216,0.324,0.000198,0.426,0.475,99.992,1,1,241160,76.0
333,2013,34,One Direction,Best Song Ever,2013-11-25,"['boy band', 'pop', 'post-teen pop', 'talent show']",0.652,0.877,-2.986,0.0465,0.0227,0,0.0789,0.486,118.491,1,1,200107,75.0
334,2013,35,Lorde,Team,2013-09-27,"['art pop', 'metropopolis', 'nz pop', 'pop']",0.69,0.578,-7.436,0.0929,0.167,0,0.305,0.416,99.961,6,1,193059,75.0
335,2013,36,Justin Bieber,Beauty And A Beat,2012-06-15,"['canadian pop', 'pop']",0.602,0.843,-4.831,0.0593,0.000688,5.27E-05,0.0682,0.526,128.003,0,1,227987,75.0
336,2013,37,A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",2013,"['east coast hip hop', 'hip hop', 'rap', 'trap']",0.853,0.693,-6.87,0.275,0.0239,0,0.11,0.662,95.967,1,1,233787,74.0
337,2013,38,Passenger,Let Her Go,2012-08-28,"['folk-pop', 'neo mellow']",0.479,0.545,-7.346,0.0688,0.365,0,0.0963,0.243,74.897,7,1,252733,74.0
338,2013,39,Zedd,Clarity,2012-01-01,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'tropical house']",0.509,0.781,-3.48,0.072,0.0398,0,0.0749,0.176,128.0,8,1,271427,74.0
339,2013,40,The Lumineers,Ho Hey,2012-04-03,"['folk-pop', 'pop', 'stomp and holler']",0.685,0.466,-9.074,0.0304,0.794,2.06E-06,0.0915,0.353,79.936,0,1,163133,73.0
340,2013,41,Bastille,Pompeii,2013-01-01,"['metropopolis', 'modern rock', 'pop', 'pop rock', 'tropical house']",0.679,0.715,-6.383,0.0407,0.0755,0,0.271,0.571,127.435,9,1,214148,73.0
341,2013,42,Rihanna,Stay,2012-01-01,"['barbadian pop', 'pop', 'urban contemporary']",0.621,0.31,-10.164,0.0283,0.945,6.12E-05,0.117,0.125,111.893,9,0,240707,73.0
342,2013,43,Imagine Dragons,Demons,2012-09-04,"['modern rock', 'rock']",0.505,0.71,-3.015,0.0321,0.19,0.00025,0.329,0.428,89.938,3,1,175200,73.0
343,2013,44,AWOLNATION,Sail,2011-03-15,"['la indie', 'modern alternative rock', 'modern rock', 'rock', 'stomp pop']",0.826,0.436,-9.583,0.0558,0.441,0.615,0.0964,0.272,119.051,1,1,259093,72.0
344,2013,45,Kanye West,Black Skinhead,2013-06-18,"['chicago rap', 'rap']",0.766,0.809,-6.123,0.279,0.0011,0,0.168,0.325,130.127,1,1,188013,72.0
345,2013,46,Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),2013-01-01,"['emo', 'modern rock']",0.558,0.924,-4.341,0.064,0.0271,3.32E-06,0.537,0.567,151.99,9,0,186827,72.0
346,2013,47,Selena Gomez,Come & Get It,2013-01-01,"['dance pop', 'pop', 'post-teen pop']",0.546,0.787,-4.1,0.0517,0.0101,0.00021,0.0809,0.573,79.979,7,0,231987,72.0
347,2013,48,Paramore,Ain't It Fun,2013-04-05,"['candy pop', 'pixie', 'pop emo', 'pop punk']",0.61,0.893,-3.681,0.0921,0.154,4.41E-05,0.021,0.673,104.031,9,1,296520,72.0
348,2013,49,Calvin Harris,Sweet Nothing (feat. Florence Welch),2012-10-29,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",0.573,0.929,-3.942,0.109,0.197,0.000112,0.0567,0.582,127.934,8,0,212560,71.0
349,2013,50,Katy Perry,Roar,2013-10-18,"['dance pop', 'pop']",0.554,0.772,-4.821,0.0418,0.00487,6.6E-06,0.354,0.455,179.984,7,0,223546,71.0
350,2013,51,"Lana Del Rey, Cedric Gervais",Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,2013-02-01,"['art pop', 'pop']",0.572,0.81,-5.791,0.0558,0.0157,6.53E-06,0.13,0.11,126.052,1,0,214912,71.0
351,2013,52,Drake,"Hold On, We're Going Home",2013-01-01,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.777,0.414,-7.44,0.0946,0.00421,2.73E-05,0.0724,0.287,100.002,6,0,227880,70.0
352,2013,53,Phillip Phillips,Home,2012-01-01,"['folk-pop', 'neo mellow', 'pop rock', 'post-teen pop']",0.606,0.826,-6.04,0.0307,0.0256,1.56E-05,0.117,0.322,121.04,0,1,210173,70.0
353,2013,54,Ellie Goulding,Burn,2012-10-12,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",0.555,0.772,-5.007,0.0523,0.315,0,0.105,0.346,86.921,1,1,231213,69.0
354,2013,55,Calvin Harris,I Need Your Love (feat. Ellie Goulding),2012-10-29,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",0.695,0.869,-5.066,0.0483,0.41,0,0.237,0.58,124.989,8,1,234507,69.0
355,2013,56,Bridgit Mendler,Ready or Not,2012-01-01,"['dance pop', 'pop', 'post-teen pop']",0.715,0.872,-3.835,0.0509,0.00351,3.84E-05,0.107,0.748,93.043,2,1,200947,69.0
356,2013,57,P!nk,True Love (feat. Lily Allen),2012-09-18,"['dance pop', 'pop']",0.457,0.823,-4.76,0.311,0.00144,0,0.108,0.578,192.205,9,1,230733,69.0
357,2013,58,2 Chainz,We Own It (Fast & Furious),2013-01-01,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.563,0.902,-4.586,0.402,0.0545,0,0.0524,0.559,171.999,1,0,227907,68.0
358,2013,59,Icona Pop,I Love It (feat. Charli XCX),2013-08-27,"['candy pop', 'dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'pop dance', 'swedish electropop', 'swedish synthpop', 'tropical house']",0.711,0.906,-2.671,0.0284,0.00952,1.64E-05,0.153,0.824,125.916,8,1,157153,68.0
359,2013,60,Taylor Swift,22,2012-10-22,['pop'],0.661,0.729,-6.561,0.0376,0.00215,0.0013,0.0477,0.668,103.987,7,1,232120,68.0
360,2013,61,"Avicii, Nicky Romero",I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,2012-12-29,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",0.509,0.79,-3.782,0.0374,0.332,6.67E-05,0.316,0.638,127.946,6,0,208316,68.0
361,2013,62,Britney Spears,Work Bitch,2013-11-30,"['dance pop', 'pop']",0.629,0.824,-6.53,0.159,0.155,0.000628,0.0651,0.852,128.01,9,1,247960,68.0
362,2013,63,Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),2013-05-17,"['electro', 'filter house']",0.832,0.659,-7.828,0.057,0.0839,0.00114,0.0753,0.674,100.163,10,0,353893,68.0
363,2013,64,Mumford & Sons,I Will Wait,2012-09-25,"['modern folk rock', 'stomp and holler', 'uk americana']",0.478,0.758,-5.4,0.0331,0.00974,0.00717,0.312,0.452,131.109,1,1,276720,67.0
364,2013,65,Flo Rida,I Cry,2012-06-22,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']",0.693,0.822,-5.441,0.0439,0.00616,1.79E-06,0.315,0.763,126.035,4,0,223800,67.0
365,2013,66,Armin van Buuren,This Is What It Feels Like,2013-05-03,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",0.551,0.833,-5.217,0.03,0.0391,2.77E-06,0.0632,0.145,129.885,8,1,204360,66.0
366,2013,67,Avril Lavigne,Here's to Never Growing Up,2013-11-01,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",0.482,0.873,-3.145,0.0853,0.0111,0,0.409,0.737,165.084,0,1,214320,66.0
367,2013,68,Michael Bublé,It's a Beautiful Day,2013-04-11,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",0.532,0.795,-3.979,0.0358,0.0559,0,0.295,0.78,143.837,1,1,199267,66.0
368,2013,69,Ariana Grande,The Way,2013-01-01,"['dance pop', 'pop']",0.645,0.878,-3.208,0.113,0.294,0,0.076,0.862,82.324,5,0,227027,65.0
369,2013,70,will.i.am,#thatPOWER,2013-01-01,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",0.797,0.608,-6.096,0.0584,0.00112,7.66E-05,0.0748,0.402,127.999,6,0,279507,65.0
370,2013,71,Calvin Harris,Thinking About You (feat. Ayah Marar),2012-10-29,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",0.725,0.874,-3.715,0.0396,0.00262,0.000412,0.0958,0.748,127.985,0,0,247933,65.0
371,2013,72,John Newman,Love Me Again,2013-01-01,['dance pop'],0.495,0.894,-4.814,0.0441,0.00453,0.000596,0.103,0.213,126.03,2,0,239894,65.0
372,2013,73,Drake,Started From the Bottom,2013-01-01,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.793,0.524,-7.827,0.156,0.0319,0,0.156,0.579,86.325,8,1,174133,65.0
373,2013,74,Kodaline,High Hopes,2013-06-17,"['irish pop', 'pop', 'pop rock']",0.488,0.487,-6.371,0.0305,0.577,0,0.193,0.219,77.278,4,1,230267,65.0
374,2013,75,One Direction,One Way or Another (Teenage Kicks),2013-02-17,"['boy band', 'pop', 'post-teen pop', 'talent show']",0.489,0.867,-3.121,0.071,0.025,0,0.586,0.409,162.131,4,0,157293,65.0
375,2013,76,Justin Timberlake,Suit & Tie (feat. Jay-Z),2013-03-15,"['dance pop', 'pop']",0.795,0.596,-3.799,0.219,0.103,0,0.164,0.357,101.985,11,0,326280,65.0
376,2013,77,"Sebastian Ingrosso, Tommy Trash, John Martin",Reload - Radio Edit,2013-01-01,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",0.485,0.724,-4.633,0.0521,0.0736,0,0.0631,0.433,128.045,9,0,221273,65.0
377,2013,78,Jason Derulo,Talk Dirty (feat. 2 Chainz),2013-09-10,"['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop']",0.76,0.652,-7.321,0.232,0.0348,0,0.307,0.759,100.315,6,1,177685,64.0
